tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
20000000,90,2,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
20000000,90,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
20000000,90,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
10000000,90,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
10000000,150,5,Open Tender,National Health Mission,2016-2017,
99999625,180,7,Open Tender,National Health Mission,2016-2017,
2000000,90,2,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
3000000,90,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
50000000,90,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
0,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
0,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
9133972,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
3000000,60,3,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
2585000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
2000000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
19700000,90,2,Open Tender,National Health Mission,2016-2017,
10000000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
50054595,180,4,Open Tender,National Health Mission,2016-2017,
14800000,360,1,Open Tender,Industries and Commerce Department,2016-2017,
7500000,180,3,Open Tender,National Health Mission,2016-2017,
15000000,90,4,Open Tender,Principal Secretary- P and RD- Assam Secretariat,2016-2017,
33719687,180,3,Open Tender,Department of Tourism,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,4,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,3,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,3,Open Tender,Higher Education (Technical) Department,2016-2017,
0,90,3,Open Tender,Higher Education (Technical) Department,2016-2017,
9000000,180,4,Open Tender,Industries and Commerce Department,2016-2017,
1500000,60,4,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
215848000,180,0,Open Tender,Urban Development Department,2016-2017,
4851079,120,11,Open Tender,Industries and Commerce Department,2016-2017,
48466033,225,4,Open Tender,National Health Mission,2016-2017,
17400000,90,7,Open Tender,National Health Mission,2016-2017,
50870000,90,5,Open Tender,National Health Mission,2016-2017,
9586384,180,4,Open Tender,National Health Mission,2016-2017,
0,90,2,Open Tender,Elementary Education Department,2016-2017,
47549220,180,7,Open Tender,Public Works Building and NH Department,2016-2017,
13000188,180,11,Open Tender,Public Works Building and NH Department,2016-2017,
10350000,180,10,Open Tender,Public Works Building and NH Department,2016-2017,
0,90,52,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
0,90,79,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
0,90,0,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
0,90,43,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
0,90,91,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
0,90,0,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
26142000,180,3,Open Tender,Department of Water Resources,2016-2017,
48746000,180,4,Open Tender,Department of Water Resources,2016-2017,
39663382,180,4,Open Tender,Department of Water Resources,2016-2017,
34860092,180,5,Open Tender,Department of Water Resources,2016-2017,
19994000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
9100000,180,3,Open Tender,National Health Mission,2016-2017,
0,180,4,Open Tender,Gauhati High Court - Guwahati,2016-2017,
0,180,3,Open Tender,Gauhati High Court - Guwahati,2016-2017,
19493403,60,2,Open Tender,Assam Police Housing Corporation Ltd,2016-2017,
5607020,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
26028000,60,9,Open Tender,Public Health Engineering Department,2016-2017,
215848000,180,2,Open Tender,Urban Development Department,2016-2017,
1150000000,180,4,Open Tender,Principal Secretary-Department of Information Technology,2016-2017,
168722500,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
10834547,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19068292,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
24755835,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
16716078,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
