tender/value/amount,tender/tenderPeriod/durationInDays,tender/numberOfTenderers,tender/procurementMethod,buyer/name,fiscal_year,tender/status
251975,90,18,Open Tender,Department of Water Resources,2016-2017,
3013000,180,8,Open Tender,Department of Water Resources,2016-2017,
1366038,90,22,Open Tender,Department of Water Resources,2016-2017,
1333860,90,22,Open Tender,Department of Water Resources,2016-2017,
7722000,180,1,Open Tender,Department of Water Resources,2016-2017,
249000,90,22,Open Tender,Department of Water Resources,2016-2017,
583272,90,17,Open Tender,Department of Water Resources,2016-2017,
367733,90,21,Open Tender,Department of Water Resources,2016-2017,
9118447,180,5,Open Tender,Department of Water Resources,2016-2017,
1515750,180,1,Open Tender,Department of Water Resources,2016-2017,
728904,180,3,Open Tender,Department of Water Resources,2016-2017,
247172,180,2,Open Tender,Department of Water Resources,2016-2017,
5819415,180,3,Open Tender,Department of Water Resources,2016-2017,
2321557,180,3,Open Tender,Department of Water Resources,2016-2017,
8785119,180,7,Open Tender,Department of Water Resources,2016-2017,
7692449,180,1,Open Tender,Department of Water Resources,2016-2017,
8775097,180,10,Open Tender,Department of Water Resources,2016-2017,
6073819,180,13,Open Tender,Department of Water Resources,2016-2017,
10863684,180,8,Open Tender,Department of Water Resources,2016-2017,
10927277,180,6,Open Tender,Department of Water Resources,2016-2017,
25801000,180,7,Open Tender,Department of Water Resources,2016-2017,
18000000,180,8,Open Tender,Department of Water Resources,2016-2017,
3500000,180,18,Open Tender,Department of Water Resources,2016-2017,
2594596,180,10,Open Tender,Department of Water Resources,2016-2017,
2254061,180,14,Open Tender,Department of Water Resources,2016-2017,
4004000,180,11,Open Tender,Department of Water Resources,2016-2017,
17191808,180,9,Open Tender,Department of Water Resources,2016-2017,
8796815,180,8,Open Tender,Department of Water Resources,2016-2017,
3512316,180,11,Open Tender,Department of Water Resources,2016-2017,
3835736,180,22,Open Tender,Department of Water Resources,2016-2017,
8213309,180,12,Open Tender,Department of Water Resources,2016-2017,
4581595,180,24,Open Tender,Department of Water Resources,2016-2017,
10021217,180,11,Open Tender,Department of Water Resources,2016-2017,
6817494,180,18,Open Tender,Department of Water Resources,2016-2017,
0,365,23,Open Tender,Welfare of Plain Tribes and Backward Classes,2016-2017,
70284000,180,3,Open Tender,Department of Science and Technology,2016-2017,
19832569,180,4,Open Tender,Department of Tourism,2016-2017,
8000,365,1,Open Tender,Health and Family Welfare Department,2016-2017,
9219000,60,4,Open Tender,Public Health Engineering Department,2016-2017,
1268911000,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
16995710,180,5,Open Tender,Department of Water Resources,2016-2017,
377414,180,6,Open Tender,Department of Water Resources,2016-2017,
9808894,180,1,Open Tender,Department of Water Resources,2016-2017,
9607680,180,2,Open Tender,Department of Water Resources,2016-2017,
9682619,180,2,Open Tender,Department of Water Resources,2016-2017,
4401731,180,2,Open Tender,Department of Water Resources,2016-2017,
4428400,180,3,Open Tender,Department of Water Resources,2016-2017,
4299454,180,1,Open Tender,Department of Water Resources,2016-2017,
26055150,180,4,Open Tender,Department of Water Resources,2016-2017,
366638,180,2,Open Tender,Department of Water Resources,2016-2017,
3317235,180,7,Open Tender,Department of Water Resources,2016-2017,
366638,180,1,Open Tender,Department of Water Resources,2016-2017,
2665852,180,1,Open Tender,Department of Water Resources,2016-2017,
2947805,180,3,Open Tender,Department of Water Resources,2016-2017,
488724,180,9,Open Tender,Department of Water Resources,2016-2017,
2917148,180,3,Open Tender,Department of Water Resources,2016-2017,
455906,180,3,Open Tender,Department of Water Resources,2016-2017,
8066911,180,1,Open Tender,Department of Water Resources,2016-2017,
409772,180,8,Open Tender,Department of Water Resources,2016-2017,
8179463,180,1,Open Tender,Department of Water Resources,2016-2017,
1988424,180,10,Open Tender,Department of Water Resources,2016-2017,
7951296,180,0,Open Tender,Department of Water Resources,2016-2017,
7276007,180,2,Open Tender,Department of Water Resources,2016-2017,
4296367,180,1,Open Tender,Department of Water Resources,2016-2017,
4487925,180,4,Open Tender,Department of Water Resources,2016-2017,
4341508,180,2,Open Tender,Department of Water Resources,2016-2017,
7391944,180,7,Open Tender,Department of Water Resources,2016-2017,
4391996,180,3,Open Tender,Department of Water Resources,2016-2017,
8500000,180,5,Open Tender,Department of Water Resources,2016-2017,
15394811,180,5,Open Tender,Department of Water Resources,2016-2017,
7883000,180,3,Open Tender,Department of Water Resources,2016-2017,
4545851,180,11,Open Tender,Department of Water Resources,2016-2017,
10511006,180,10,Open Tender,Department of Water Resources,2016-2017,
2814569,180,6,Open Tender,Department of Water Resources,2016-2017,
363780,180,3,Open Tender,Department of Water Resources,2016-2017,
4362943,180,10,Open Tender,Department of Water Resources,2016-2017,
6274932,180,6,Open Tender,Department of Water Resources,2016-2017,
485040,180,6,Open Tender,Department of Water Resources,2016-2017,
18837020,180,6,Open Tender,Department of Water Resources,2016-2017,
12798895,180,11,Open Tender,Department of Water Resources,2016-2017,
1930000,180,0,Open Tender,Department of Water Resources,2016-2017,
4424496,180,8,Open Tender,Department of Water Resources,2016-2017,
731000,180,0,Open Tender,Department of Water Resources,2016-2017,
1284808,180,8,Open Tender,Department of Water Resources,2016-2017,
21859532,180,6,Open Tender,Department of Water Resources,2016-2017,
21168717,180,6,Open Tender,Department of Water Resources,2016-2017,
4975559,180,15,Open Tender,Department of Water Resources,2016-2017,
135920,180,3,Open Tender,Department of Water Resources,2016-2017,
1464926,180,9,Open Tender,Department of Water Resources,2016-2017,
4679675,180,10,Open Tender,Department of Water Resources,2016-2017,
9959763,180,8,Open Tender,Department of Water Resources,2016-2017,
493168,180,1,Open Tender,Department of Water Resources,2016-2017,
493168,180,5,Open Tender,Department of Water Resources,2016-2017,
20533000,180,3,Open Tender,Department of Water Resources,2016-2017,
30834364,180,1,Open Tender,Department of Water Resources,2016-2017,
18273000,180,5,Open Tender,Department of Water Resources,2016-2017,
16179994,180,5,Open Tender,Department of Water Resources,2016-2017,
24448000,180,6,Open Tender,Department of Water Resources,2016-2017,
9803783,180,10,Open Tender,Department of Water Resources,2016-2017,
16474600,180,9,Open Tender,Department of Water Resources,2016-2017,
6466098,180,0,Open Tender,Department of Water Resources,2016-2017,
14960445,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
15245278,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
9147167,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
7371277,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
4379856,180,3,Open Tender,Department of Water Resources,2016-2017,
7647143,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
7371277,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
7622640,180,1,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
31202200,180,3,Open Tender,Department of Water Resources,2016-2017,
8728998,180,2,Open Tender,Department of Water Resources,2016-2017,
4425967,180,2,Open Tender,Department of Water Resources,2016-2017,
20143451,180,4,Open Tender,Department of Water Resources,2016-2017,
6466098,180,3,Open Tender,Department of Water Resources,2016-2017,
16351884,180,6,Open Tender,Department of Water Resources,2016-2017,
9582306,180,1,Open Tender,Department of Water Resources,2016-2017,
11196218,180,10,Open Tender,Department of Water Resources,2016-2017,
12036845,180,10,Open Tender,Department of Water Resources,2016-2017,
14230470,180,7,Open Tender,Department of Water Resources,2016-2017,
13224237,180,6,Open Tender,Department of Water Resources,2016-2017,
23981082,180,2,Open Tender,Department of Water Resources,2016-2017,
4479370,180,11,Open Tender,Department of Water Resources,2016-2017,
27000000,180,0,Open Tender,Department of Water Resources,2016-2017,
3167929,180,2,Open Tender,Department of Water Resources,2016-2017,
4564935,180,2,Open Tender,Department of Water Resources,2016-2017,
27884722,180,2,Open Tender,Department of Water Resources,2016-2017,
3153336,180,1,Open Tender,Department of Water Resources,2016-2017,
57000355,180,5,Open Tender,Department of Water Resources,2016-2017,
6169875,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
280000000,180,0,Open Tender,National Health Mission,2016-2017,
0,90,0,Open Tender,Elementary Education Department,2016-2017,
10500000,90,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
0,90,4,Open Tender,Elementary Education Department,2016-2017,
53670389,180,2,Open Tender,Department of Water Resources,2016-2017,
0,90,3,Open Tender,Industries and Commerce Department,2016-2017,
62784,180,2,Open Tender,Department of Water Resources,2016-2017,
377936,180,4,Open Tender,Department of Water Resources,2016-2017,
33719687,180,7,Open Tender,Department of Tourism,2016-2017,
10805998,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9499963,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8580000,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5039060,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8039073,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
29600000,180,32,Open Tender,Animal Husbandry and Veterinary Department,2016-2017,
5000000,90,11,Open Tender,National Health Mission,2016-2017,
0,120,10,Open Tender,Industries and Commerce Department,2016-2017,
19832569,180,3,Open Tender,Department of Tourism,2016-2017,
862000,180,1,Open Tender,Industries and Commerce Department,2016-2017,
9989956,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9987955,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9979871,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9988401,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9983915,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9984626,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5707834,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9749400,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9479495,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7724966,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
20000000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
5479662,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5353646,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7294717,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7912813,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6054357,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7469969,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8264778,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9549715,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9995142,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9798136,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499875,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499874,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4901600,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
19899377,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9883555,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8993218,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
14683874,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9514680,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
12462406,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2305021,180,1,Open Tender,Industries and Commerce Department,2016-2017,
2229944,180,3,Open Tender,Industries and Commerce Department,2016-2017,
1956951,180,3,Open Tender,Industries and Commerce Department,2016-2017,
2112516,180,3,Open Tender,Industries and Commerce Department,2016-2017,
2377530,180,3,Open Tender,Industries and Commerce Department,2016-2017,
2219908,180,2,Open Tender,Industries and Commerce Department,2016-2017,
2379689,180,1,Open Tender,Industries and Commerce Department,2016-2017,
2241594,180,2,Open Tender,Industries and Commerce Department,2016-2017,
2481717,180,1,Open Tender,Industries and Commerce Department,2016-2017,
3500000,180,3,Open Tender,National Health Mission,2016-2017,
9614693,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4914000,180,4,Open Tender,Public Works Roads Department,2016-2017,
3488000,180,3,Open Tender,Public Works Roads Department,2016-2017,
20722000,180,5,Open Tender,Public Works Roads Department,2016-2017,
87366222,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
87218794,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
87344232,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
87167237,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2980354,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
3960361,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
3465801,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
2971504,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
2997286,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
2474800,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
3972326,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
2473348,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
4983146,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
0,180,2,Open Tender,Industries and Commerce Department,2016-2017,
2997286,180,2,Open Tender,Bodoland Territorial Council-WRD,2016-2017,
158579000,60,1,Open Tender,Public Health Engineering Department,2016-2017,
2583000,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
98836000,60,1,Open Tender,Public Health Engineering Department,2016-2017,
0,30,7,Open Tender,Department of Higher Education,2016-2017,
0,30,9,Open Tender,Department of Higher Education,2016-2017,
0,30,8,Open Tender,Department of Higher Education,2016-2017,
0,30,7,Open Tender,Department of Higher Education,2016-2017,
0,30,7,Open Tender,Department of Higher Education,2016-2017,
2533749,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
17152000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
11511000,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
13300400,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
8977763,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
7500000,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
95000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,4,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,0,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,5,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,5,Open Tender,Health and Family Welfare Department,2016-2017,
3500000,180,4,Open Tender,National Health Mission,2016-2017,
3500000,180,4,Open Tender,National Health Mission,2016-2017,
3500000,180,2,Open Tender,National Health Mission,2016-2017,
3500000,180,2,Open Tender,National Health Mission,2016-2017,
3500000,180,2,Open Tender,National Health Mission,2016-2017,
3500000,180,4,Open Tender,National Health Mission,2016-2017,
2228683,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8877796,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4301993,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9199416,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6147918,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
0,90,1,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
7396400,45,3,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,2,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,5,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,5,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,3,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,3,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,4,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
0,30,4,Open Tender,Department of Higher Education,2016-2017,
0,30,3,Open Tender,Department of Higher Education,2016-2017,
0,30,4,Open Tender,Department of Higher Education,2016-2017,
0,30,3,Open Tender,Department of Higher Education,2016-2017,
0,30,2,Open Tender,Department of Higher Education,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,2,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,1,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
7396400,45,0,Open Tender,Rashtriya Madhyamik Siksha Abhijan,2016-2017,
95000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,3,Open Tender,Health and Family Welfare Department,2016-2017,
95000000,365,2,Open Tender,Health and Family Welfare Department,2016-2017,
130980111,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
15340094,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
3000000,90,4,Open Tender,Bodoland Territorial Council,2016-2017,
10000000,730,7,Open Tender,Health and Family Welfare Department,2016-2017,
15000000,730,7,Open Tender,Health and Family Welfare Department,2016-2017,
10000000,730,7,Open Tender,Health and Family Welfare Department,2016-2017,
11916800,180,9,Open Tender,Irrigation Department,2016-2017,
17500000,90,2,Open Tender,Tea Tribes Welfare Department,2016-2017,
3435000,180,2,Open Tender,Public Works Roads Department,2016-2017,
18964000,180,2,Open Tender,Public Works Roads Department,2016-2017,
16600000,180,2,Open Tender,Public Works Roads Department,2016-2017,
15000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
6646000,180,3,Open Tender,Public Works Roads Department,2016-2017,
8999000,180,2,Open Tender,Public Works Roads Department,2016-2017,
8297000,180,2,Open Tender,Public Works Roads Department,2016-2017,
4545400,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
3167100,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
3343700,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
4965528,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8243156,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10520464,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
12448249,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
21053900,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10373470,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
0,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
1933983,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2499630,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
0,180,1,Open Tender,Guwahati Municipal Corporation,2016-2017,
16655325,180,5,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
16655325,180,1,Open Tender,Axom Sarba Siksha Abhijan Mission,2016-2017,
86675981,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
10178835,180,4,Open Tender,Public Works Building and NH Department,2016-2017,
2547015,90,4,Open Tender,Health and Family Welfare Department,2016-2017,
50500000,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
194589065,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
79067055,180,2,Open Tender,Public Works Building and NH Department,2016-2017,
13573289,180,1,Open Tender,Public Works Building and NH Department,2016-2017,
1268900000,180,6,Open Tender,Public Works Building and NH Department,2016-2017,
0,30,6,Open Tender,Directorate of Agriculture and Assam Seed Corporation,2016-2017,
4567468,365,4,Open Tender,Assam State Agricultural Marketing Board,2016-2017,
6699538,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4993447,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4963648,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9927295,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4993447,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4963648,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4993447,180,1,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8449657,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8979813,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9799683,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9210893,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4339549,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5399863,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4349946,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9981701,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6015679,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
11142414,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
10897136,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9239985,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8247993,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4992773,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9368263,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8439337,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9999119,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9998231,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9287651,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9996119,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9994709,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9987256,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
8687934,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7934663,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3695060,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
57050000,180,0,Open Tender,Public Works Building and NH Department,2016-2017,
5607020,180,5,Open Tender,Public Works Building and NH Department,2016-2017,
3437500,180,3,Open Tender,Public Works Building and NH Department,2016-2017,
20366500,60,3,Open Tender,Irrigation Department,2016-2017,
15614600,60,7,Open Tender,Irrigation Department,2016-2017,
14331500,60,8,Open Tender,Irrigation Department,2016-2017,
24716000,180,6,Open Tender,Public Works Roads Department,2016-2017,
24717700,180,7,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,10,Open Tender,Public Works Roads Department,2016-2017,
5197000,180,8,Open Tender,Public Works Roads Department,2016-2017,
9088000,180,8,Open Tender,Public Works Roads Department,2016-2017,
7518000,180,5,Open Tender,Public Works Roads Department,2016-2017,
19111000,180,6,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,10,Open Tender,Public Works Roads Department,2016-2017,
9980000,180,5,Open Tender,Public Works Roads Department,2016-2017,
9999000,180,6,Open Tender,Public Works Roads Department,2016-2017,
5890000,180,9,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,5,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,7,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
14508000,180,1,Open Tender,Public Works Roads Department,2016-2017,
13951000,180,3,Open Tender,Public Works Roads Department,2016-2017,
23769000,180,1,Open Tender,Public Works Roads Department,2016-2017,
23257000,180,1,Open Tender,Public Works Roads Department,2016-2017,
27333000,180,1,Open Tender,Public Works Roads Department,2016-2017,
51819000,180,4,Open Tender,Public Works Roads Department,2016-2017,
34367000,180,3,Open Tender,Public Works Roads Department,2016-2017,
37300000,180,2,Open Tender,Public Works Roads Department,2016-2017,
31252000,180,2,Open Tender,Public Works Roads Department,2016-2017,
29666000,180,3,Open Tender,Public Works Roads Department,2016-2017,
23172600,180,4,Open Tender,Public Works Roads Department,2016-2017,
22956700,180,8,Open Tender,Public Works Roads Department,2016-2017,
17952300,180,5,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,4,Open Tender,Public Works Roads Department,2016-2017,
14863000,180,5,Open Tender,Public Works Roads Department,2016-2017,
25960000,180,2,Open Tender,Public Works Roads Department,2016-2017,
11324000,180,4,Open Tender,Public Works Roads Department,2016-2017,
15728000,180,1,Open Tender,Public Works Roads Department,2016-2017,
19820000,180,1,Open Tender,Public Works Roads Department,2016-2017,
18639000,180,1,Open Tender,Public Works Roads Department,2016-2017,
31000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
13500000,180,4,Open Tender,Public Works Roads Department,2016-2017,
35000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
6500000,180,3,Open Tender,Public Works Roads Department,2016-2017,
34996000,180,2,Open Tender,Public Works Roads Department,2016-2017,
30000000,180,1,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,1,Open Tender,Public Works Roads Department,2016-2017,
58100000,180,4,Open Tender,Public Works Roads Department,2016-2017,
15868300,180,2,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,2,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,5,Open Tender,Public Works Roads Department,2016-2017,
11683000,180,11,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,7,Open Tender,Public Works Roads Department,2016-2017,
15000000,180,4,Open Tender,Public Works Roads Department,2016-2017,
14300000,180,6,Open Tender,Public Works Roads Department,2016-2017,
17077000,180,6,Open Tender,Public Works Roads Department,2016-2017,
17732000,180,4,Open Tender,Public Works Roads Department,2016-2017,
14395000,180,6,Open Tender,Public Works Roads Department,2016-2017,
19971000,180,4,Open Tender,Public Works Roads Department,2016-2017,
13353000,180,7,Open Tender,Public Works Roads Department,2016-2017,
29980000,180,3,Open Tender,Public Works Roads Department,2016-2017,
64350000,180,6,Open Tender,Public Works Roads Department,2016-2017,
46131000,180,3,Open Tender,Public Works Roads Department,2016-2017,
30402000,180,7,Open Tender,Public Works Roads Department,2016-2017,
37739000,180,5,Open Tender,Public Works Roads Department,2016-2017,
20000000,180,4,Open Tender,Public Works Roads Department,2016-2017,
33075000,180,4,Open Tender,Public Works Roads Department,2016-2017,
26822000,180,3,Open Tender,Public Works Roads Department,2016-2017,
19628000,180,3,Open Tender,Public Works Roads Department,2016-2017,
6999555,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7998920,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3999983,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6496407,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4940991,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4976132,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
5665980,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
4967975,180,0,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
3960005,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2271093,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
2073914,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
9537310,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
7843567,180,3,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
6254963,180,2,Open Tender,Bodoland Territorial Council-PWD,2016-2017,
