amount,risk_score,risk_grade,risk_reasons
0,12.844960849543707,Low,['No strong anomaly indicator']
0,12.844960849543707,Low,['No strong anomaly indicator']
9000000,3.0864015530028652,Low,['No strong anomaly indicator']
1500000,17.089944206842766,Low,['No strong anomaly indicator']
215848000,40.32441483063529,Medium,"['Low bidder competition', 'Unusually high contract value']"
4851079,26.970386754127045,Low,['No strong anomaly indicator']
48466033,20.92283525283402,Low,['Unusually high contract value']
17400000,19.056738216369936,Low,['No strong anomaly indicator']
50870000,22.199523594174824,Low,['Unusually high contract value']
9586384,2.4552648205172076,Low,['No strong anomaly indicator']
0,16.843511143888666,Low,['No strong anomaly indicator']
47549220,16.8224838526116,Low,['Unusually high contract value']
13000188,24.115739348625297,Low,['No strong anomaly indicator']
10350000,19.94300331934371,Low,['No strong anomaly indicator']
0,62.0748285117504,Medium,['No strong anomaly indicator']
0,68.03020145506139,Medium,['No strong anomaly indicator']
0,17.66750669255585,Low,['Low bidder competition']
0,58.6451555441982,Medium,['No strong anomaly indicator']
0,69.5195102201067,Medium,['No strong anomaly indicator']
0,17.66750669255585,Low,['Low bidder competition']
26142000,10.776469064987559,Low,['No strong anomaly indicator']
48746000,18.480981466711654,Low,['Unusually high contract value']
39663382,15.643558769250635,Low,['No strong anomaly indicator']
34860092,14.920678209699659,Low,['No strong anomaly indicator']
19994000,4.409255792024787,Low,['No strong anomaly indicator']
9100000,1.7315886601028367,Low,['No strong anomaly indicator']
0,6.655696823032869,Low,['No strong anomaly indicator']
0,5.563612981284926,Low,['No strong anomaly indicator']
19493403,15.839935299851085,Low,['No strong anomaly indicator']
5607020,2.383206324265373,Low,['No strong anomaly indicator']
26028000,26.81739218335139,Low,['No strong anomaly indicator']
215848000,35.20191878995121,Low,['Unusually high contract value']
1150000000,67.99740303136252,Medium,['Unusually high contract value']
168722500,25.7684359440219,Low,['Unusually high contract value']
10834547,21.458704837859315,Low,['Low bidder competition']
19068292,10.282438010754525,Low,['No strong anomaly indicator']
24755835,13.151376367545627,Low,['No strong anomaly indicator']
16716078,8.618956906722545,Low,['No strong anomaly indicator']
32380734,16.53196315874499,Low,['No strong anomaly indicator']
32423000,33.402909237249276,Low,['Low bidder competition']
17626000,20.998960064398915,Low,['No strong anomaly indicator']
2000000,37.294540134085395,Low,['No strong anomaly indicator']
2300000,37.06556436370308,Low,['No strong anomaly indicator']
10000000,38.63647051964024,Low,['No strong anomaly indicator']
5500000,40.58600490794527,Medium,['No strong anomaly indicator']
24000000,11.928273331887166,Low,['Low bidder competition']
11700000,3.9311473253160116,Low,['No strong anomaly indicator']
2585000,4.973799277131668,Low,['Low bidder competition']
2000000,4.990508308953586,Low,['Low bidder competition']
5000000,3.1484369329808715,Low,['No strong anomaly indicator']
78622066,19.834249042537117,Low,['Unusually high contract value']
178946910,28.611233691359093,Low,"['Low bidder competition', 'Unusually high contract value']"
37217156,6.813209294232536,Low,['No strong anomaly indicator']
2000000,11.81622782979601,Low,['Low bidder competition']
3000000,11.613634735648574,Low,['Low bidder competition']
0,19.826014522965764,Low,['No strong anomaly indicator']
38822250,29.60465970451871,Low,['No strong anomaly indicator']
37773000,30.418470377202283,Low,['No strong anomaly indicator']
24132750,27.290104570418222,Low,['No strong anomaly indicator']
7500000,32.88432114044127,Low,['No strong anomaly indicator']
10830547,1.3472103807406413,Low,['No strong anomaly indicator']
24565300,5.350980409091285,Low,['No strong anomaly indicator']
600000,11.534001599475626,Low,['No strong anomaly indicator']
8819000,8.873545534603686,Low,['No strong anomaly indicator']
22500000,4.641439053429913,Low,['No strong anomaly indicator']
16951761,8.587032884560927,Low,['No strong anomaly indicator']
41060000,21.73773813253944,Low,['Unusually high contract value']
61142918,28.581102054869817,Low,['Unusually high contract value']
15461862,7.634772070697771,Low,['No strong anomaly indicator']
17020855,8.938287498058628,Low,['No strong anomaly indicator']
27216988,13.996458128684186,Low,['No strong anomaly indicator']
38513971,35.14436257347049,Low,['Low bidder competition']
32971289,16.360401718578444,Low,['No strong anomaly indicator']
19462824,11.091734000430058,Low,['No strong anomaly indicator']
463762,9.858967557842874,Low,['No strong anomaly indicator']
18200000,16.95905662001677,Low,['No strong anomaly indicator']
17501000,10.575796088230469,Low,['No strong anomaly indicator']
10830553,1.7770182482179635,Low,['No strong anomaly indicator']
7811532,14.340241954494022,Low,['Low bidder competition']
7811532,12.855553779000623,Low,['No strong anomaly indicator']
7811532,13.403605449864298,Low,['No strong anomaly indicator']
7897331,14.340241954494022,Low,['Low bidder competition']
7983132,18.047231022915177,Low,['Low bidder competition']
7983132,18.047231022915177,Low,['Low bidder competition']
7983132,17.993651174657984,Low,['No strong anomaly indicator']
7983132,14.340241954494022,Low,['Low bidder competition']
7983132,12.855553779000623,Low,['No strong anomaly indicator']
7983132,13.403605449864298,Low,['No strong anomaly indicator']
28455200,6.131489107104372,Low,['No strong anomaly indicator']
49303500,65.07066871504033,Medium,['Unusually high contract value']
48126000,62.3167413670906,Medium,['Unusually high contract value']
49162500,62.29286884064915,Medium,['Unusually high contract value']
17175000,37.05279773244174,Low,['No strong anomaly indicator']
13776600,31.43494701290504,Low,['No strong anomaly indicator']
15082800,43.74083979970142,Medium,['No strong anomaly indicator']
12602400,44.272713747502664,Medium,['No strong anomaly indicator']
24323000,23.302034062705367,Low,['No strong anomaly indicator']
24541000,27.02110063549774,Low,['No strong anomaly indicator']
40626978,31.806406239971565,Low,['Unusually high contract value']
10551535,29.252008687174985,Low,['No strong anomaly indicator']
14611457,31.5621824497403,Low,['No strong anomaly indicator']
16291520,29.68836731192788,Low,['No strong anomaly indicator']
36054681,29.48864439744312,Low,['No strong anomaly indicator']
44445100,31.147596686193573,Low,['Unusually high contract value']
42081156,29.03020874112129,Low,['Unusually high contract value']
27926544,25.071971406337163,Low,['No strong anomaly indicator']
0,70.26468782087602,High,['No strong anomaly indicator']
40400000,15.79771175839591,Low,['Unusually high contract value']
63832354,21.805450321098846,Low,['Unusually high contract value']
34882120,20.028882498869265,Low,['No strong anomaly indicator']
38370332,20.307530351487056,Low,['No strong anomaly indicator']
49401164,19.921627536084358,Low,['Unusually high contract value']
55576310,21.33176707123138,Low,['Unusually high contract value']
10000000,20.423367968925806,Low,['No strong anomaly indicator']
10830553,2.4650250408214305,Low,['No strong anomaly indicator']
7203000,10.145647232983805,Low,['No strong anomaly indicator']
5781000,1.5349411035458331,Low,['No strong anomaly indicator']
6839000,2.5953537365243378,Low,['No strong anomaly indicator']
7234000,7.150372646604303,Low,['No strong anomaly indicator']
5421000,4.102889997205374,Low,['No strong anomaly indicator']
2585000,4.973799277131668,Low,['Low bidder competition']
2000000,4.990508308953586,Low,['Low bidder competition']
5000000,2.60391222450977,Low,['No strong anomaly indicator']
5000,32.74353839255991,Low,['Low bidder competition']
0,11.365891622745284,Low,['Low bidder competition']
1500000,16.032879920788673,Low,['No strong anomaly indicator']
0,29.605797753062234,Low,['No strong anomaly indicator']
5000000,29.597245347403558,Low,['No strong anomaly indicator']
47191000,8.006238092744582,Low,['Unusually high contract value']
20000000,44.16079889660613,Medium,['No strong anomaly indicator']
34747420,6.434220053759539,Low,['No strong anomaly indicator']
38252197,19.34267008764715,Low,['No strong anomaly indicator']
215848000,35.20191878995121,Low,['Unusually high contract value']
19832569,16.88131148704869,Low,['No strong anomaly indicator']
1050000,10.256637972250125,Low,['No strong anomaly indicator']
725000,11.332868949374866,Low,['No strong anomaly indicator']
19832569,23.21978343627132,Low,['Low bidder competition']
50600000,25.014624004173125,Low,['Unusually high contract value']
374901432,51.958104653418395,Medium,['Unusually high contract value']
343510,9.11272768733808,Low,['No strong anomaly indicator']
6000000,11.136251001172468,Low,['No strong anomaly indicator']
2600000,10.032804836193641,Low,['No strong anomaly indicator']
18000000,19.79646898776304,Low,['No strong anomaly indicator']
17000000,19.274681145754094,Low,['No strong anomaly indicator']
10859920,2.826767421152475,Low,['No strong anomaly indicator']
6839000,2.5953537365243378,Low,['No strong anomaly indicator']
32400000,26.21906580442556,Low,['Low bidder competition']
13150000,10.937750113366569,Low,['No strong anomaly indicator']
29300000,50.5664736446862,Medium,['Low bidder competition']
3020099,5.636383049966035,Low,['No strong anomaly indicator']
9816884,7.859577172413097,Low,['No strong anomaly indicator']
3020099,4.526449638934409,Low,['No strong anomaly indicator']
7592690,7.998162088341871,Low,['No strong anomaly indicator']
4754288,9.961431127132585,Low,['No strong anomaly indicator']
5734380,4.2428605303277465,Low,['No strong anomaly indicator']
3873852,10.121258780192399,Low,['No strong anomaly indicator']
6114486,14.014646091618186,Low,['No strong anomaly indicator']
6500000,30.195843559826354,Low,['No strong anomaly indicator']
25714500,5.416687809340289,Low,['No strong anomaly indicator']
0,32.705769864432014,Low,['No strong anomaly indicator']
11000000,29.46978596300577,Low,['No strong anomaly indicator']
0,11.365891622745284,Low,['Low bidder competition']
0,9.739324580563945,Low,['No strong anomaly indicator']
0,5.722375886263507,Low,['No strong anomaly indicator']
0,24.546921386550494,Low,['No strong anomaly indicator']
8000000,9.081797026802484,Low,['No strong anomaly indicator']
1050000,10.256637972250125,Low,['No strong anomaly indicator']
1200000,13.827140162937031,Low,['No strong anomaly indicator']
0,45.378530872494025,Medium,['No strong anomaly indicator']
0,55.66016184583978,Medium,['No strong anomaly indicator']
28093913,3.9644514862252294,Low,['No strong anomaly indicator']
20000000,32.07572591303709,Low,['No strong anomaly indicator']
500000,12.810711878952397,Low,['Low bidder competition']
0,4.908904179163017,Low,['Low bidder competition']
20000000,31.710942354581224,Low,['No strong anomaly indicator']
3000000,30.222403253962838,Low,['No strong anomaly indicator']
10000000,36.32085976473912,Low,['No strong anomaly indicator']
1200000,32.93817206090163,Low,['Low bidder competition']
6500000,29.705498097110862,Low,['No strong anomaly indicator']
19783055,4.918922422331796,Low,['Low bidder competition']
0,7.441039128731276,Low,['No strong anomaly indicator']
11200000,18.83347561378527,Low,['No strong anomaly indicator']
497286,11.161017060478578,Low,['Low bidder competition']
5503407,4.931179646625623,Low,['No strong anomaly indicator']
31061178,19.07075079870031,Low,['No strong anomaly indicator']
22794662,12.799708624820525,Low,['No strong anomaly indicator']
74532333,12.431424723989107,Low,['Unusually high contract value']
5035702,24.233347424166386,Low,['No strong anomaly indicator']
8626530,13.57932807157507,Low,['No strong anomaly indicator']
6814174,20.37191901640783,Low,['No strong anomaly indicator']
7532916,14.572946884599137,Low,['Low bidder competition']
2206100000,76.65003429419302,High,"['Low bidder competition', 'Unusually high contract value']"
0,19.93765150332107,Low,['Low bidder competition']
10830553,1.7619185152258154,Low,['No strong anomaly indicator']
5999950,0.11470390068241443,Low,['No strong anomaly indicator']
12510148,9.814886303928958,Low,['No strong anomaly indicator']
19800000,9.283615145258608,Low,['No strong anomaly indicator']
20500000,11.799750011834746,Low,['No strong anomaly indicator']
27696000,14.816338583073524,Low,['No strong anomaly indicator']
23304523,15.096034587882048,Low,['No strong anomaly indicator']
20263601,11.799750011834746,Low,['No strong anomaly indicator']
25349923,14.189257631313268,Low,['No strong anomaly indicator']
0,14.398890406845876,Low,['No strong anomaly indicator']
